|diff|    p a b ord est
  406170021529   16037782963120191323 15515282279027377336 15619219077197981776 16037782960314863975 16037783366484885504
  358224544609   17715542092212253183 408069435938561255 13117353789023555937 17715542094734900383 17715542452959444992
  451004652823   12879145300957177381 879604573108932046 810059840945638108 12879145296121617687 12879144845116964864
  415373743973   14227159981855638043 5308343479132398958 72914241592695090 14227159979047757979 14227160394421501952
  174106244998   14521128189953310007 11087389444387927304 13055524282257115693 14521128196353193862 14521128022246948864
  9993530391   11458186579098468883 734697933234478204 9008418054394841026 11458186584920609769 11458186594914140160
  254496224244   13071411792689919337 7647164342838486449 7380363570849276740 13071411790923418636 13071412045419642880
  388697885635   11767746781350899023 5394410379671243697 4447174407268727194 11767746785830964163 11767746397133078528
  320176439600   13423459957334852927 5055612694383460593 10814703380256143093 13423459955294289616 13423460275470729216
  185167397923   9255258061896119783 9153746619404063814 6265255701820340937 9255258059227677731 9255257874060279808
  340978709859   13063835649808995671 3975454630675421299 11723240377219494033 13063835651771348323 13063835310792638464
  203648575872   11554913035520437829 5689161902397141649 1554338088679994639 11554913035481426304 11554912831832850432
  270364361252   11656979129085145027 6831380346934906943 308606622411500428 11656979126363307484 11656979396727668736
  230478762166   10702088963146887841 674210099092047938 6862761929727866325 10702088962855063734 10702088732376301568
  108010507740   12470196775091798173 12228046043777520134 3188460539904156409 12470196780317962788 12470196888328470528
  535484079468   16844863943631864223 5471202130252391039 2180270923749333484 16844863948206989972 16844864483691069440
  395510122721   9789794645800738277 4251520691877908699 6769131099442661537 9789794643506727137 9789794247996604416
  170498677970   9917456515096381717 4784712271270532208 7566810070950514227 9917456514573098194 9917456344074420224
  283098218276   13637528310233258477 906294343596006566 4889874363301970092 13637528309230731484 13637528592328949760
  91022684337   10591158907559671487 9162892731096385039 2976710959902671056 10591158913227296591 10591159004249980928
  464238525354   10221852209656520311 4899149764139115581 9503310210420689824 10221852204416220074 10221851740177694720
  440445491412   13319479025668861609 2069542023061277160 12968884317327650606 13319479020386461484 13319479460831952896
  452306468832   11219204894990008349 2303621815037274981 6753482763397646178 11219204896388612064 11219204444082143232
  322419291190   14049794555731789489 530682228262807072 11090530695606299629 14049794552790780874 14049794875210072064
  146884464186   16598848606025122799 14707676244691771803 1405218657824832769 16598848610091725254 16598848756976189440
  371707411824   17609340998106389593 13110274473043209233 15561886708977364943 17609340996539972976 17609340624832561152
  291589671876   10144614635629326857 577318216000018394 1954209649603208647 10144614638450985924 10144614346861314048
  235872048570   14848972470688904633 1345174654193432796 7050241558751719661 14848972466963753542 14848972702835802112
  520529245706   15314177693619860101 908704300183744350 5567560147797088299 15314177692588701194 15314177172059455488
  395971897801   15832012353408451631 4663039237549914198 6023704972186228462 15832012360341760457 15832011964369862656
  269169533212   9654811877115477601 9304855996494188426 4112345880610437199 9654811872670589212 9654811603501056000
  425500134614   13597614543182243191 7290456320460598183 743683584108366504 13597614546717560022 13597614121217425408
  515710050526   13859124752252189681 382195901646240697 6419415535082860115 13859124749592502050 13859125265302552576
  222615187264   15666365923626398947 3098081988721712267 339489782976495123 15666365916983709888 15666366139598897152
  28711830453   13081920109903033409 4232676000407377681 8274031078392975884 13081920106758128565 13081920078046298112
  96224298322   10648358994517722419 4709610829869098982 7213964716600194873 10648358993886070098 10648358897661771776
  27023328188   14982838213375922863 10264697870144190926 9059951857596296160 14982838216494201924 14982838243517530112
  168513903384   18346605881807722237 17077260478508495394 16278550494722035564 18346605883695949032 18346606052209852416
  360943000585   17885394648096875951 4126005398337164456 2202634343342148244 17885394648275280887 17885395009218281472
  98967144244   11481378694268840041 9397361023840934071 5034276508955947611 11481378692645963572 11481378593678819328
  414218761884   12174637857189352667 9882367144346086238 11554907168069484153 12174637852958869860 12174638267177631744
  550796044189   12392361903738039859 4459230423963041566 11862622349864042896 12392361909402163299 12392362460198207488
  467437024605   16534358470122430403 10593262829061507806 3594100737656794096 16534358469397640541 16534358001960615936
  66314270520   10207171128933371843 6928954218713677687 9970116091197637278 10207171127237900088 10207171060923629568
  69809177054   11856945446863109233 6518146903307433527 1566544727022788090 11856945447257211358 11856945377448034304
  243234806680   11037060199288902047 6867939908332898136 4159192783433808141 11037060204101592168 11037060447336398848
  173339736433   12865348000830268399 326438332079041533 142805561336829296 12865347999871895183 12865348173211631616
  51536235652   16174090966873602401 8911799048326076141 5613137604212715380 16174090974028139652 16174090922491904000
  183103587068   15258373840253099371 1713439596265330234 597977120656063402 15258373841518527228 15258373658414940160
  439402139084   12572651134528103777 2027169893098003714 732225995087881737 12572651141425754676 12572651580827893760
  179274954890   17745707728101966661 1761662262975186358 11581925001068730973 17745707733742434442 17745707554467479552
  55557129511   17432092803150362063 14705477773558541033 589121469502604813 17432092808922432807 17432092753365303296
  127426209958   16342819655588451853 9690476467918071955 13326750058832698962 16342819650440943450 16342819777867153408
  374972276664   13875235681842699649 7769280652405133948 10470862852111899313 13875235684645003192 13875235309672726528
  204238289112   13519008734298914471 12478078669011395606 3043531727722051180 13519008731197802280 13519008935436091392
  153788921642   11492718804973617527 7028663660336452839 4475920201088299610 11492718802818779350 11492718956607700992
  332653779544   16410833035991924347 11913192369814018569 12445952937997149480 16410833035484341672 16410833368138121216
  362267731583   18285028633516034023 5391228681631401092 3030535918618494029 18285028640740153729 18285029003007885312
  389506720572   12480128061287032351 5961374798376851850 947071185237242962 12480128066857263932 12480127677350543360
  162798858373   17445307626965031109 2905846144182550615 16968349781089363767 17445307620820684667 17445307783619543040
  530826026634   10484944508623856833 2288045880528346921 8391571772608058733 10484944512809590410 10484943981983563776
  432502782922   10114366109341107161 6826572992904028174 3853978562399761597 10114366114972351434 10114365682469568512
  352278004252   10568947414358116439 7663202207532082270 9544577826533004307 10568947417579273700 10568947769857277952
  419629575205   11472049917882727403 1198855510326312326 8060205158880450113 11472049917399192539 11472050337028767744
  93541023971   9284351952372979463 6893996544813176083 3593188384114047605 9284351957701836573 9284352051242860544
  355311429056   11645415084243235363 10189122057883471277 2462796660859520135 11645415088738149824 11645414733426720768
  383453680897   14658400567141414723 11320140664721319324 9612492402757059383 14658400566009473791 14658400949463154688
  537516625880   18269577020717562811 3849502574159911547 9310303515252001318 18269577028586123304 18269577566102749184
  536542576148   9613898241834535037 348164316495372482 9526185536327035838 9613898239288934892 9613898775831511040
  48862172172   18313663640166697871 2899627792442017523 8327001907995706690 18313663633192227852 18313663584330055680
  433028169622   15714054827521270669 13453231874324430515 1233787707640239645 15714054824402255978 15714055257430425600
  517490944468   16565807851702496393 10330256731377992218 6021915606180141105 16565807850540837332 16565807333049892864
  208880831300   11485612604830046869 6939905038991547316 6207209569336623129 11485612604076553404 11485612812957384704
  529992783929   17820152716386640003 5926697061397724233 6048814309176101330 17820152718242093113 17820152188249309184
  529203983834   11842632502138806133 2816734942793327261 7550885959003426933 11842632505385290278 11842633034589274112
  437378872534   11454521257872046691 3009993458345902439 7787098598087565637 11454521260526007510 11454520823147134976
  24565220688   17545965847812186443 9971065950731843561 9715520574527195211 17545965849553959600 17545965874119180288
  41362701816   9948566983297285999 4340071742643904990 4599090285497579288 9948566984219640328 9948567025582342144
  102797869866   9830309158270885411 3804599023533039252 2348273315090162214 9830309155254764330 9830309052456894464
  439691586678   9841336493094000803 8254176870159538122 1340395013320639762 9841336494263446646 9841336054571859968
  464737715305   9774782152348986953 1120836270389684265 3062823080369085322 9774782151004863383 9774782615742578688
  424740281048   16719484302168870223 5915394061125438332 7614387160091432646 16719484298981169880 16719483874240888832
  39773288911   13074209243477032207 4720783345640390585 1783615681098466061 13074209242773993935 13074209203000705024
  106568640296   11822542868304066289 5126415944788870822 11156644565074333938 11822542864695191336 11822542758126551040
  497424812894   12594486291535105283 1701882706169835663 3241427733231802818 12594486284819084450 12594486782243897344
  236637752196   12958950457693283833 1275484790355221202 3609206532286452610 12958950460958078076 12958950697595830272
  490454639786   13744910688064894673 8377084027515303442 12923284740106275526 13744910686887077034 13744910196432437248
  385348087982   15123288041175143923 1020351273745548957 3069479942683679240 15123288045174468782 15123287659826380800
  294830901329   12898355221943202731 2489168155793387399 7947530192935626472 12898355217446565807 12898355512277467136
  25761313988   16515945554178848081 14953648221917372960 11885030613217043715 16515945554480565052 16515945580241879040
  285937948688   17667577076390828029 3895920307312664182 14688517886946384028 17667577071771396080 17667577357709344768
  51445947813   16583978906231902721 735169563441145678 2596942777381615260 16583978910276199003 16583978961722146816
  400965970744   12590437684020646337 5544471135820748609 5425930946674243997 12590437681884769080 12590437280918798336
  19517671410   15462119734463382089 13851460909795632838 14961347856916148392 15462119740593928206 15462119760111599616
  38885280904   15249875498140047091 10364195596284530066 12588631703041386102 15249875494158578552 15249875533043859456
  452548332016   11566623279363333331 2488229423934140686 286898441407428427 11566623277631960592 11566623730180292608
  342630480168   18067020379881687743 17918607754746060209 11712359305912012235 18067020379106195752 18067020036475715584
  480339906800   10209492743303476811 6665426416497435245 3973706352014463791 10209492749141585680 10209493229481492480
  450176879253   15984679806471006821 3338733549750762078 5753445354947074309 15984679803221308779 15984680253398188032
  534695537056   17808975081379889461 14240334661674895445 11221670416787860949 17808975087736875424 17808974553041338368
  109685061005   14662703221448220749 10653222825767454091 9842818019039734965 14662703228777581171 14662703338462642176
  430000764618   16808809969192468049 8901621262849855573 15621375803492810631 16808809967903902006 16808810397904666624
  383010014108   18324582114337957837 12089248562402886662 12226489012492231219 18324582117803885468 18324581734793871360
  341758648234   13019966231331467479 4293607406312850980 5799423310523073499 13019966238114652074 13019965896356003840
  383235443572   13481544557194349887 2210727167858491437 3573794493328810453 13481544559466695540 13481544176231251968
  21956130925   10102781209591606147 7311386587118189506 8292710835161483329 10102781206003189651 10102781227959320576
  336666818991   14113543125269084587 13332319118886070790 5499999878848401767 14113543123210077777 14113543459876896768
  138435069796   10336883605105751909 3284780970274770490 8040670064460153826 10336883607752177820 10336883746187247616
  227395352916   13888846386484055897 11204686473180240765 2986417465778786550 13888846391508318548 13888846164112965632
  276858388338   12686466153199770287 6555680451962827167 8233715696388500033 12686466150607110286 12686466427465498624
  394922581202   15564136145179498627 5585536556747555838 9128106519313552173 15564136142394121426 15564135747471540224
  391361575068   12303032251122102229 9447618911935437871 1017884964919890329 12303032246637971300 12303032637999546368
  434072506025   14802149339768302069 2477997937779697526 10151935176381009382 14802149334727839401 14802148900655333376
  525040841551   14338077504226114967 14022741917744377472 7487562327199659178 14338077502879075505 14338078027919917056
  391538712243   14225399371087261969 976409236988112252 7642660862332854299 14225399368332517043 14225398976793804800
  432031091732   15516281035769544649 4422372933114369054 8507087441863649337 15516281035415309332 15516280603384217600
  341305144970   14641417131137330393 4568276943782361047 6283321319510547173 14641417134654043786 14641416793348898816
  461118277957   13119556820669883053 6139210598069991327 12265224397409730435 13119556822183348549 13119556361065070592
  500313965198   16106920060134555403 9508183130517850895 8752826628274265610 16106920058441777806 16106919558127812608
  9602991200   18402452462053942717 3917749886280566802 16064676799761516543 18402452456410842208 18402452446807851008
  54041294016   17332022955890996063 15152442571835500901 2936353708764436016 17332022955627820224 17332022901586526208
  402152562487   12168923705688365579 9466364407713629114 2728590141488503412 12168923703095517385 12168924105248079872
  403377364824   18311151596389269899 9686540056852971175 17785132422329021387 18311151603637952344 18311151200260587520
  42295535330   15188899869351311963 7500693716308826751 4197949027970338781 15188899874406750494 15188899916702285824
  283211981784   14863176473371466939 114702280352704479 8815367300002109123 14863176477255394264 14863176194043412480
  551109983051   14223254383491616921 8676915054766154147 5524601833573602928 14223254378009658549 14223254929119641600
  403774701444   16650715615745463001 15977925955407762181 4001081487608395451 16650715615218565244 16650716018993266688
  294684117224   11793386203422765967 7875362262776788239 5794586447515668348 11793386203465304296 11793385908781187072
  466868866902   16828172161864529363 9725358213073302925 9003787054797858459 16828172165027041110 16828171698158174208
  542923873953   15085035088450417747 14187083754319385503 7247623102654622063 15085035093708299937 15085034550784425984
  241485312204   13065407372045146049 10020018488844084153 184461390260276322 13065407370935045940 13065407612420358144
  178911793928   18311510557679989511 8687564407972967381 9163183304173103803 18311510561651076344 18311510740562870272
  483782303144   18017365607625641671 2384859679421161026 7833163209206874279 18017365607583048280 18017366091365351424
  72164445563   13524279915289638151 2738412629134786062 8576716569476201010 13524279922015203973 13524279994179649536
  193114604600   11669748934070607719 6198071596837056004 9974504557055695235 11669748931658054600 11669749124772659200
  80054923698   15870334424564691653 14064044503277591859 13210516359981361428 15870334422699291058 15870334342644367360
  30804101040   16893015425433692399 12251702085006197102 16826466585385113240 16893015427210364848 16893015396406263808
  277386675919   12761157071440157929 2671776581467671473 9530723164172991539 12761157074465274161 12761157351851950080
  265056623640   9480909811302886301 7638015443723707170 9301975098263726332 9480909810973744152 9480909545917120512
  176200783665   15599535450448162139 10385136753561188508 1291767197868095056 15599535447638632655 15599535623839416320
  447319782154   16518847634670446321 7340269364725127049 9995771185395740574 16518847638747362058 16518847191427579904
  94769248108   12923147210540188207 5405764707560851078 10240008787026066472 12923147205691312276 12923147300460560384
  495804921786   12992309276598458333 5438589811858128944 10991547616864371549 12992309276675848122 12992308780870926336
  98561570541   13493571632056243747 3182623045534892154 12179354730446687450 13493571635365923091 13493571733927493632
  380074510126   15248340998583989633 8599952654858962966 4406036621088875685 15248340994885994286 15248340614811484160
  137413934968   16774395817633261541 14137672555747677501 7057635192304945188 16774395821369212792 16774395683955277824
  494096992788   12588476247209652359 4157007657334475593 2471377458250242168 12588476246271838740 12588475752174845952
  209946331328   10856608385244466367 8399494831361394833 9009978179680605228 10856608389039470400 10856608598985801728
  6510939165   10195921956113975377 4982185834016026514 3108309074254675010 10195921950948914147 10195921957459853312
  346171467531   13140729310507522417 4540190073436975747 5235621693077588382 13140729310309685493 13140729656481153024
  387672611798   9300452592783947923 7905665004888493124 4115886432431188452 9300452587680996310 9300452200008384512
  99125300152   13234370765855136431 8650517939765263731 12178182358766660350 13234370762897623992 13234370663772323840
  74954826456   16745157553592307683 7796053544580330541 10312136775143896110 16745157545704284888 16745157470749458432
  251734243758   9671278139099765249 1200395162310880905 2892492489309723918 9671278141372873134 9671277889638629376
  382785034799   13844646511289174423 9351873879728820254 646007167149933886 13844646513402963409 13844646896187998208
  358804838058   10976943192120221317 4444165794320266648 7236646232542840117 10976943190771280214 10976943549576118272
  430179340606   9911223885556528993 6730461395598182169 837254895338942466 9911223881988845250 9911224312168185856
  220668716128   11054065272861216691 5586080495985196011 8426047541368184941 11054065273502866336 11054065494171582464
  345333439772   13378755984038228669 9443832036166346110 10144263283637896553 13378755986375172836 13378756331708612608
  160215084632   12135029297970047951 133336672017532255 4494088445918841688 12135029300083544488 12135029460298629120
  503132327540   17192213901435069337 15592655666629306887 1474269221453483447 17192213904177368692 17192213401045041152
  539920187858   18100595287301761499 14374245406050384984 10196043730459002298 18100595283132923438 18100595823053111296
  344849440976   14253221366710452409 12277409374290191598 1153581766405582406 14253221363872489680 14253221019023048704
  59007282448   12235156424999482129 3400822798240307170 9951563204133416967 12235156427674768112 12235156486682050560
  174338848416   13340909111408951881 12548919075870594990 3442087241773946383 13340909116796155552 13340908942457307136
  350337308175   15802690542703855157 2738917210072485488 6103463842394081201 15802690538617640463 15802690188280332288
  430437101632   13014194130141286349 4835745605675374686 2668592196119092677 13014194129384705984 13014194559821807616
  508771024294   9275137638443491729 1317500071627582340 765019731191454937 9275137635031073370 9275138143802097664
  449693299878   17027847857496596993 6407047124341581347 12478417456211670577 17027847857502106790 17027847407808806912
  273819736420   17351383375900074817 12147413880985165938 12923276498541120048 17351383376148142436 17351383102328406016
  39598371647   11386710680663453449 2445548355526645598 7116577196727816435 11386710682125677375 11386710642527305728
  95195570530   10521113421175284251 8884703167269721811 4209911359920658625 10521113421295312542 10521113516490883072
  339805538367   17882250746412570293 9707502566319755679 14207124483328882777 17882250745768380479 17882250405962842112
  342663075031   13066599146568261817 3058918764577191594 11957924214477868433 13066599140361792297 13066599483024867328
  153120980208   11299522818176115949 3957235272987105697 7299146583407821655 11299522822100532464 11299522668979552256
  323665011548   17518939555668145627 6337544826798629821 1817631279944894458 17518939554643434660 17518939878308446208
  90838622226   17571400973720171813 16244566218225357457 12449587244899532084 17571400967443144722 17571400876604522496
  116046946743   11853146677415690467 9862736817568899638 2942421812592231171 11853146680821014967 11853146564774068224
  64177954403   10839229784771327671 5027424748643223607 3203894891006830143 10839229782375128675 10839229718197174272
  243562821352   12920428448804134303 4466902725196806000 1398484619696222674 12920428451767891688 12920428208205070336
  469949625462   11501705896507966259 3925797685177101004 4298397686750075444 11501705894703516554 11501706364653142016
  402567927776   15453041495723820031 8231311726491179557 14389069772430969382 15453041495168980960 15453041092601053184
  354695430856   15793011939493657307 4585307589293648273 2863595209430731701 15793011932237217080 15793012286932647936
  4287725532   15174201655564084597 2210733734620733441 965271368378700243 15174201649549901788 15174201645262176256
  436569442883   10370086137039405797 4121098711803342655 7087106226675246377 10370086135380642371 10370085698811199488
  101271651356   14999371492417901597 8091250769948853378 234280036450265365 14999371498592746468 14999371599864397824
  50400435256   16089750637911607271 15722004268119944843 5562975174308772079 16089750633659655112 16089750684060090368
  508883969593   13029502466037287071 5781601789063455710 11406949876092205085 13029502469587674681 13029501960703705088
  290837822295   11722563359750973683 10099738119456188737 8986343499345537274 11722563357139073879 11722563066301251584
  210980059950   11588013846086834291 1118895175465188698 11494982353775163840 11588013840367106862 11588013629387046912
  498775942443   13688186992525847377 1691711146117659325 10219888914361578597 13688186992291158741 13688187491067101184
  421098817680   15540143983361297119 11520184089351980638 14448302030760190076 15540143982654650224 15540144403753467904
  232755139880   15593741436744552551 1816327833359416180 628912720241093650 15593741430316176680 15593741197561036800
  147135032850   11313634754527045069 10941889094447925018 841924795146289678 11313634753587024366 11313634900722057216
  118133068996   11637545643519125261 705321061971655717 10049877211298746149 11637545646839796932 11637545528706727936
  13565445073   9289029388185689837 6721683954673186736 8430379535433299020 9289029387272864721 9289029373707419648
  23346961092   11555804513563585159 6670655657248591187 1652425498309902711 11555804512416015676 11555804535762976768
  20353962845   13265603406033778379 8703798911825727321 11023260773886120045 13265603411424891741 13265603391070928896
  5771991110   11425182563637781249 4038548445172698347 8733024575348598872 11425182560155179078 11425182554383187968
  272829458590   13199780856326918023 9872049590819344099 6155532887862716717 13199780854644660066 13199781127474118656
  428769810616   9609737793530639749 5804160009251831564 1767863980053804631 9609737795062196040 9609738223832006656
  187792935450   9420819947859312137 8368960466481279197 2496901275651911945 9420819948154598886 9420820135947534336
  527093671350   12843841149878838767 8151736024379916003 1630368590208103024 12843841153354376630 12843840626260705280
  539200809100   13539115139391082859 6189360520179729664 13206569091880725422 13539115144262412428 13539114605061603328
  317938796477   16198928107623617261 6922993574742470465 10863044677523564930 16198928108590532541 16198927790651736064
  49353921704   17513252050505338067 16560607044996289184 15308559026390889613 17513252055304039256 17513252104657960960
  72934494035   16824138609795823393 10671061327571813488 14339317167454985817 16824138616572997805 16824138689507491840
  153974174164   15108664315690737833 6792200135858816879 11137731472149903312 15108664309151134164 15108664155176960000
  162250427268   15476709015503085001 9158334393141384080 10830773790897463873 15476709017650132092 15476709179900559360
  498165820620   12170969792410718879 9306250542344821470 7621641661358254951 12170969798221550388 12170970296387371008
  82618772096   11812324918028227921 4632717878245015577 9384820266666863437 11812324913950856576 11812324996569628672
  53648054830   10767139089573351593 8139205821881939557 646335958860385850 10767139085162358226 10767139138810413056
  492916355720   15165877733908521553 10617310366321252518 14186077602951855665 15165877735644639880 15165877242728284160
  422143086972   17578578907496461807 9054353901864958695 1963576279545347474 17578578910653731196 17578578488510644224
  334291704553   9343901267744735513 128605513855349856 7750784457469738894 9343901266711504151 9343901601003208704
  100981504391   12506819327198318719 5990589707402965115 5858691181956076558 12506819320644929145 12506819421626433536
  388638858778   17239737204344417689 13541388818516369945 2003355778653241360 17239737203493544422 17239737592132403200
  371353813709   11536564554584683403 8797967102927993249 9713661668357674590 11536564553142338253 11536564181788524544
  466641929540   10609834677849375931 652114031186108113 4073013298017576594 10609834675889685828 10609834209247756288
  266836986992   17614539949102058113 12822769248811336943 814048502468274406 17614539948483326864 17614540215320313856
  275839380280   9619584622541992151 2692565229539567616 3766514513767631790 9619584626298121016 9619584350458740736
  107848490506   10625706653519903123 461912300759499332 5502564015374992476 10625706651257840118 10625706759106330624
  334847839473   15484682075183149747 1626400209797526024 1922123590834520288 15484682073561402609 15484681738713563136
  373797020804   15435591468651716273 7413726304552188250 10336036015166163815 15435591469271227260 15435591843068248064
  249522131391   14286608540506924627 4570135852028357795 5137586358591176420 14286608539589963329 14286608789112094720
  69869217908   15022868088319144037 2136276506530465345 733020437890439527 15022868093480753036 15022868163349970944
  334461170003   18305808341847334079 13767574429442286854 15901547591442738848 18305808338800053933 18305808673261223936
  280996433744   10446382724532964543 7370486605645776896 3997278999130269619 10446382728689397936 10446383009685831680
  530284701541   18306601985315408441 8136372941861065979 17150803139123302627 18306601990371776667 18306602520656478208
  295527958979   15644608205895364511 5805000341726087879 14965618837533180668 15644608199524796867 15644607903996837888
  254187958728   11500430677317039077 4530393368319013508 4223511847374547660 11500430676976963128 11500430931164921856
  333929363367   17655237202770321613 6535734784303109049 7452088787519675579 17655237204781451353 17655237538710814720
  61191960089   17653325426558908453 6506469976021363033 392220119005506687 17653325426798152167 17653325487990112256
  290175500592   9885106804171712551 3173672672636949730 9410613514855743143 9885106803137495344 9885106512961994752
  152324500728   12846994965888992567 12373761450115783063 11605448981868868191 12846994972796293896 12846995125120794624
  388863006224   12917223846827502193 180142823842491081 12231199041587337637 12917223842458724848 12917224231321731072
  486674496050   11535595027292844269 7035543705015450955 5476396394236053203 11535595025369957838 11535595512044453888
  300166233998   12692910366532692301 4685763583152054184 4692520092145026221 12692910364949659762 12692910665115893760
  12662583236   10507301462199848017 216046151357297108 4083031812924376165 10507301464085344196 10507301451422760960
  242977835372   13707261578956410599 7274810068282960608 6868746091570172327 13707261575807923860 13707261818785759232
  214712244278   10628737227032421143 2118941660483868353 10203489495139122347 10628737227864725558 10628737013152481280
  53207709520   12546040153205837251 1969018852748077846 3652004217442231547 12546040154108540752 12546040100900831232
  210717268569   15300435264800868271 9997396507893255789 12739586038062980941 15300435265018242471 15300435475735511040
  198169608764   14713537257111361733 1460809727049726942 6622417419215409225 14713537257719218748 14713537059549609984
  405294546072   14443620836435614111 10524535647997690305 4384067295446361666 14443620843287217000 14443621248581763072
  535043933232   11031976843578066659 8295977274238329027 6301127895084189594 11031976840613495856 11031976305569562624
  637071813   12737445280267123447 2846483847463208885 6264896755040178457 12737445283450261051 12737445284087332864
  531427915020   12278713113279486953 7620793271548660735 10105873376283875785 12278713108388481780 12278713639816396800
  323265256073   14134212855819893003 5096896289339447956 6307628939453926081 14134212855702201719 14134213178967457792
  18939425021   10946366110421306897 1661729674507408019 9361137505956127551 10946366112268242691 10946366131207667712
  389750561260   10010196465182310757 7629284336854546766 3745408991101212991 10010196461591881236 10010196851342442496
  131779034850   12817301580805562809 10672050241724655652 982030009542353335 12817301582322041118 12817301714101075968
  296473406275   11441058105791815993 6081325309496305114 6556358145192616536 11441058106303239357 11441058402776645632
  359361118147   11035084985237793289 4054406588968956832 11013670648419944846 11035084984302403523 11035084624941285376
  84233736044   12615274227566580077 10746607012941666363 10310309537321264733 12615274233312366444 12615274149078630400
  406506846058   14189933817062995477 2813010832671009939 13741568215298650310 14189933822733043862 14189934229239889920
  325704358079   9728641934252048893 5818492103757519942 6515193657674004664 9728641935987316927 9728641610282958848
  323225184344   16567987339547528923 13618503549543275414 7625126791192893914 16567987341382588328 16567987664607772672
  397979462390   10640016207450741829 1127801828806250211 6331144749611649009 10640016201409669878 10640015803430207488
  319383111066   11902274620262580391 8987379983980196031 10112195929970125962 11902274623943244390 11902274943326355456
  315067053058   12296766202083969637 4391927286303931883 2189460958385549944 12296766206165797886 12296766521232850944
  358088690794   9492610190898715957 5891660576128574564 7263985394888020246 9492610190571221910 9492610548659912704
  214165009048   13672145827174189351 2018137670319365592 5893297793461082076 13672145830582858392 13672145616417849344
  12969730290   10060983304922340407 9816672497714539838 5012070311055080357 10060983306399146226 10060983293429415936
  423560287696   13681880269355604913 3154438361575916597 12819819163026796053 13681880268809890352 13681880692370178048
  208005663651   18330880628251623353 7133968143074993806 15856058500749359762 18330880628903736413 18330880836909400064
  224693093428   14348195515657538393 13416482717553150781 1805566227357121683 14348195509225618380 14348195733918711808
  187752300848   9546873836019676931 5508617826537743569 2643041546800421151 9546873834266214704 9546873646513913856
  439815128139   12583633942609874657 3898435818560316560 11807521741700995697 12583633942781248587 12583633502966120448
  387025950350   11783417343854180711 1761940390133093654 2867771357519974036 11783417349337819506 11783417736363769856
  409609063828   13912590528699394199 12333824740534692516 9810378828108929989 13912590527323852180 13912590117714788352
  112698717376   11085112296639226099 6900678812530633834 6933355871767501404 11085112291306376000 11085112404005093376
  32473250951   9239136796926893359 87543139467062816 539313266727879886 9239136802100577145 9239136834573828096
  146982064680   13178325108833649719 7907812555494568370 10370216897135886723 13178325110587633112 13178325257569697792
  218047740808   16127903514155311639 3074232797893307685 7874019746816521440 16127903519496176760 16127903737543917568
  493848982751   17042671511657884889 2642288617423020247 15131759836409698287 17042671517423465695 17042671023574482944
  345567177378   11041446747873883049 677506315100496333 9416915568290911870 11041446744786774690 11041446399219597312
  338576813674   14497988463914418737 12258241128878789362 5452204935548868741 14497988461463589270 14497988800040402944
  452393255167   14576935476063039581 9656712275901506351 940062894055301263 14576935481544720129 14576935933937975296
  379221820590   16203910398008968741 2849694322466606301 1426684129504377398 16203910398126996306 16203910777348816896
  112508320572   17003884537913819393 6174081692325975276 2459037232090377436 17003884538884736196 17003884651393056768
  99379161408   10828638019772406157 617958963607194992 7209350544295163733 10828638023307646656 10828638122686808064
  130450403043   13937631621139092547 5309871555332391735 5119947707570216628 13937631625487789795 13937631495037386752
  238446744440   11477283771721717409 1107267539519051924 11286269295831782226 11477283773930237064 11477284012376981504
  41319674848   17478797763870986051 753848664023656746 9746673700009699797 17478797766970297376 17478797808289972224
  517677932087   16421049448723680317 4736630653896881285 830843749555318672 16421049448349720119 16421048930671788032
  241809727001   16564661392334109497 7989510833143510183 6040408979481871445 16564661400124023271 16564661641933750272
  391909002656   13099797745588110959 2114251636560610760 8098932458586367130 13099797745204933216 13099798137113935872
  144704319396   10531736036581358363 695902876133670182 6238781109418567306 10531736043031146404 10531735898326827008
  1648648402   10491552043230744191 5146727676016919263 5391483599089264702 10491552045217849134 10491552046866497536
  243938497443   9343390573974725857 9292148304882254236 3054758419379922139 9343390572034790307 9343390328096292864
  125767714362   13860562196663342177 12722746321428486456 2354572425303858994 13860562201232341446 13860562327000055808
  131478334040   13535897305672189183 2168860449128136367 5153237032857157686 13535897302560396712 13535897434038730752
  526436658177   14925692754792513193 127481242893946820 1880500977387285635 14925692752612158465 14925692226175500288
  348353138588   14901580278339357979 685462080494392067 6714165382176888321 14901580284531511196 14901579936178372608
  484546245968   11639188808263800373 1217311216096579453 8222520115019366803 11639188814044007088 11639189298590253056
  30551613510   16821248096043670837 2569449511214219229 1424211768969441155 16821248103989682246 16821248073438068736
  163753019727   17464625267269519267 5927504776640422763 11190024375025254048 17464625267160959311 17464625103407939584
  509804702544   11653175671773511433 3791319688366887828 3836048584632592119 11653175676202489008 11653176186007191552
  89650698302   17003297423010170351 13614789626846394162 13070745326486802469 17003297422533126082 17003297512183824384
  161359434472   11494425234523947173 6053509941887965174 11157843872603663978 11494425237294574872 11494425398654009344
  294888346436   16976991987930098297 535788759104212657 13019049122403478086 16976991991377630020 16976991696489283584
  466285253828   15837719063879750893 10600416111322715604 7628212677579711689 15837719062944394044 15837719529229647872
  275704311468   15854586318698069431 15376808073448778217 14849151931326930933 15854586313304043180 15854586037599731712
  489852557886   10763412407286440347 2289320905736485236 3993867986130994067 10763412404051322306 10763412893903880192
